<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of the BHTtrans network in Belo Horizonte, MG

- Link to the data with the description of [[Belo_Horizonte/Public_Transport/Analysis/BHTrans_Lines|BHTrans Lines]] in OSM-Wiki.
- Link to more [[Talk:Belo_Horizonte/Public_Transport/Analysis|information]] in OSM-Wiki.

#
#ref;type;comment;from;to;operator

== Onibus

SC01A;bus;GTFS route_id=SC01A 01;Contorno A (Principal);Contorno A (Principal);
SC01B;bus;GTFS route_id=SC01B 01;Contorno B (Principal);Contorno B (Principal);
SC01R;bus;GTFS route_id=SC01R 01;Contorno;Tarde);
SC01R;bus;GTFS route_id=SC01R 02;Contorno;Manha);
SC02A;bus;GTFS route_id=SC02A 01;Praca 7;Santa Casa (Principal);
SC02B;bus;GTFS route_id=SC02B 01;Savassi;Pca Da Liberdade (Principal);
SC02B;bus;GTFS route_id=SC02B 02;Savassi;Pca Da Liberdade (Desvio Feira Da Av.Afonso Pena);
SC03A;bus;GTFS route_id=SC03A 01;Hospital Felicio Rocho;Hospital Militar A (Principal);
SC03B;bus;GTFS route_id=SC03B 01;Hospital Felicio Rocho;Hospital Militar B (Principal);
SC04A;bus;GTFS route_id=SC04A 01;Santa Casa;Rodoviaria A (Principal);
SC04B;bus;GTFS route_id=SC04B 01;Santa Casa;Savassi B (Principal);
SE02;bus;GTFS route_id=SE02  01;Buritis;Savassi (Principal);
30;bus;GTFS route_id=30    01;Estacao Diamante;Centro (Direta);
30;bus;GTFS route_id=30    02;Estacao Diamante;Centro (Paradora);
30;bus;GTFS route_id=30    03;Estacao Diamante;Centro (Paradora Via R.Dos Caetes);
30;bus;GTFS route_id=30    08;Estacao Diamante;Centro (Zoologico);
32;bus;GTFS route_id=32    01;Estacao Barreiro;Tamoios (Direta);
32;bus;GTFS route_id=32    02;Estacao Barreiro;Tamoios (Paradora);
32;bus;GTFS route_id=32    07;Estacao Barreiro;Direta);
33;bus;GTFS route_id=33    01;Estacao Barreiro;Hospitais (Principal Paradora);
33;bus;GTFS route_id=33    05;Estacao Barreiro;Hospitais (Direta);
33;bus;GTFS route_id=33    06;Estacao Barreiro;Retorno Na R. Da Bahia);
34;bus;GTFS route_id=34    02;Estacao Barreiro;Via Expressa (Principal);
35;bus;GTFS route_id=35    01;Estacao Barreiro;Centro (Principal);
35;bus;GTFS route_id=35    02;Estacao Barreiro;Via Sinf. Brochado);
50;bus;GTFS route_id=50    01;Estacao Pampulha;Direta (Principal);
50;bus;GTFS route_id=50    02;Estacao Pampulha;Direta (Direta Av. Parana);
50;bus;GTFS route_id=50    03;Estacao Pampulha;Direta (Direta Av. Santos Dumont);
