<pre>
#
# Formatierung: die Formatierung lehnt sich ans Wiki an.
#
# Links: [[...|...]] sind (wie im OSM-Wiki) interne Verweise ins OSM-Wiki
#        [... ...] sind (wie im OSM-Wiki) externe Verweise ins Internet
#
# Überschriften beginnen mit '=', '==', '===', '====', ... am Anfang einer Zeile
#
# Einfacher Text beginnt mit '-' am Anfang einer Zeile.
#     Einfacher Text darf nur direkt hinter einer Überschrift stehen.
#     !!!Text mit gelbem Hintergrund!!! im einfachen Text
#     '''''Text mit dicken, kursiven Buchstaben''''' im einfachen Text
#     '''Text mit dicken Buchstaben''' im einfachen Text
#     ''Text mit kursiven Buchstaben'' im einfachen Text
#     -   d.h. ein einfaches '-' am Anfang der Zeile gefolgt von 'nichts', 
#         erzeugt einen Zeilen Umbruch (bzw. packt das bisher ausgegebenen in einen Paragraphen <p> ... </p>)
#
# Kommentare beginnen mit '#' am Anfang einer Zeile. Kommentare mittendrin werden nicht erkannt, d.h. '#' darf innerhalb von Text vorkommen.
#
# Format der Datei: UTF-8
#
#
# Definition von Linieninformationen: Inhalt im CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' von route oder route_master
# - type      == inhalt des tags 'route' bzw. 'route_master'
# - comment   == kann Kommentar enthalten wie; Ruftaxi, Bus, Expressbus, ...  wird nicht ausgewertet, lediglich ausgegeben
#                !Text mit gelbem Hintergrund! im comment (umgeben von einfachem !)
# - from      == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - to        == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - operator  == wird bei mehreren Linie mit identischem ref und type Differenzierung herangezogen
#                Der Wert von 'operator' darf ';' enthalten
#


= Überblick über die ÖPNV-Linien des Hamburger Verkehrsverbundes

- Verweis auf die Datei mit den [[Hamburger_Verkehrsverbund/Analyse/DE-HH-HVV-Routes|HVV Linien]] im Wiki.
- Verweis auf mehr [[Talk:Hamburger_Verkehrsverbund/Analyse|Informationen]] im Wiki.

== Hinweis
- Grunddaten Stand 6.12.18
-
- Bei der Analyse ist 'network' derzeit entweder
-
- * "HVV"                           short form, oder
-
- * "Hamburger Verkehrsverbund"  long form, oder
-
- * leer, d.h. nicht gesetzt
-
#
#ref;type;comment;from;to;operator

== RB-Eisenbahn
RB31;train;;;;
RB32;train;;;;
RB33;train;;;;
RB38;train;;;;
RB41;train;;;;
RB61;train;;;;
RB71;train;;;;
RB81;train;;;;
RB82;train;;;;

== RE-Eisenbahn
RE1;train;;;;
RE3;train;;;;
RE4;train;;;;
RE5;train;;;;
RE6;train;;;;
RE7;train;;;;
RE70;train;;;;
RE8;train;;;;
RE80;train;;;;
RE83;train;;;;

== S-Bahn
A1;train;;;;
A2;train;;;;
A3;train;;;;
S1;light_rail;;;;
S11;light_rail;;;;
S2;light_rail;;;;
S21;light_rail;;;;
S3;light_rail;;;;
S31;light_rail;;;;

== U-Bahn
U1;subway;;;;
U2;subway;;;;
U3;subway;;;;
U4;subway;;;;

== Hafenfähren
61;ferry;;;;
62;ferry;;;;
64;ferry;;;;
72;ferry;;;;
73;ferry;;;;
75;ferry;;;;
HBEL;ferry;;;;

== MetroBus
1;bus;;;;
2;bus;;;;
3;bus;;;;
4;bus;;;;
5;bus;;;;
6;bus;;;;
7;bus;;;;
8;bus;;;;
9;bus;;;;
10;bus;;;;
11;bus;;;;
12;bus;;;;
13;bus;;;;
14;bus;;;;
15;bus;;;;
17;bus;;;;
20;bus;;;;
21;bus;;;;
22;bus;;;;
23;bus;;;;
24;bus;;;;
25;bus;;;;
26;bus;;;;
27;bus;;;;
28;bus;;;;

== Schnellbus
31;bus;;;;
34;bus;;;;
35;bus;;;;
36;bus;;;;
37;bus;;;;
39;bus;;;;
48;bus;;;;
49;bus;;;;

== EilBus
E30;bus;;;;
E40;bus;;;;
E62;bus;;;;
E69;bus;;;;
E69;bus;;;;
E86;bus;;;;

== Nachtbus
600;bus;;;;
601;bus;;;;
602;bus;;;;
603;bus;;;;
604;bus;;;;
605;bus;;;;
606;bus;;;;
607;bus;;;;
608;bus;;;;
609;bus;;;;
611;bus;;;;
613;bus;;;;
616;bus;;;;
617;bus;;;;
618;bus;;;;
619;bus;;;;
621;bus;;;;
623;bus;;;;
626;bus;;;;
627;bus;;;;
629;bus;;;;
638;bus;;;;
639;bus;;;;
640;bus;;;;
641;bus;;;;
642;bus;;;;
643;bus;;;;
644;bus;;;;
647;bus;;;;
648;bus;;;;
649;bus;;;;
658;bus;;;;
688;bus;;;;

== Stadt- und Regionalbus
109;bus;;;;
