<pre>
#
# Formatierung: die Formatierung lehnt sich ans Wiki an.
#
# Links: [[...|...]] sind (wie im OSM-Wiki) interne Verweise ins OSM-Wiki
#        [... ...] sind (wie im OSM-Wiki) externe Verweise ins Internet
#
# Überschriften beginnen mit '=', '==', '===', '====', ... am Anfang einer Zeile
#
# Einfacher Text beginnt mit '-' am Anfang einer Zeile.
#     Einfacher Text darf überall stehen.
#     Ein einfaches '-' am Anfang der Zeile gefolgt von 'nichts':
#     - wenn davor einfacher Text stand wird ein Zeilenumbruch erzeugt und das bisher ausgegebenen in einen Paragraphen <p> ... </p> gepackt
#     - wenn vorher kein einfacher Text stand bzw. ein Zeilenumbruch erzeugt wurde, so wird eine Leerzeile erzeugt mit Hilfe von <p>&amp;nbsp;</p>
#
# !!!Text mit gelbem Hintergrund!!! in einfachem Text oder Überschriften
# '''''Text mit dicken, kursiven Buchstaben''''' in einfachem Text oder Überschriften
# '''Text mit dicken Buchstaben''' in einfachem Text oder Überschriften
# ''Text mit kursiven Buchstaben'' in einfachem Text oder Überschriften
#
# Kommentare beginnen mit '#' am Anfang einer Zeile. Kommentare mittendrin werden nicht erkannt, d.h. '#' darf innerhalb von Text vorkommen.
#
# Format der Datei: UTF-8
#
#
# Definition von Linieninformationen: Inhalt im CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' von route oder route_master
#                250            definiert, dass hier Linien mit 'ref'='250' erwartet wird
#                250|250a|250b  definiert, dass hier Linien mit 'ref'='250' und 'ref'='250a' und 'ref'='250b' zulässig sind - ob das nach PTv1/PTv2 erlaubt ist, ist eine andere Sache
# - type      == inhalt des tags 'route' bzw. 'route_master'
# - comment   == kann Kommentar enthalten wie; Ruftaxi, Bus, Expressbus, ...  wird nicht ausgewertet, lediglich ausgegeben
#                !Text mit gelbem Hintergrund! im comment (umgeben von einfachem !)
# - from      == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - to        == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - operator  == wird bei mehreren Linie mit identischem ref und type Differenzierung herangezogen
#                Der Wert von 'operator' darf ';' enthalten
#



= Überblick über die ÖPNV-Linien des Verkehrsverbund Region Braunschweig

- Verweis auf die Datei mit den [[Verkehrsverbund_Region_Braunschweig/Analyse/DE-NI-VRB-Routes|VRB Linien]] im Wiki.
-
- Verweis auf mehr [[Talk:Verkehrsverbund_Region_Braunschweig/Analyse|Informationen]] im Wiki.
-
- Die aktuelle Liste mit allen Buslinien sowie zugehörigen Fahrplänen im Gebiet des VRB ist unter [https://www.regionalverband-braunschweig.de/oepnv-und-mobilitaet/fahrplaene/bus-und-tram/ regionalverband-braunschweig.de/oepnv-und-mobilitaet/fahrplaene/bus-und-tram] sowie [https://www.vrb-online.de/bus/bus0.html vrb-online.de/bus/bus0.html] einsehbar.

== Hinweis
- Grunddaten Stand 24.08.2019
-
- Bei der Analyse ist 'network' derzeit entweder
-
- * "VRB" (Kurzform), oder
-
- * "Verkehrsverbund Region Braunschweig", bzw. "Verbundtarif Region Braunschweig" (ausgeschriebene Form, wobei die letztere lediglich den Tarif des Verbundes beschreibt und nicht verwendet werden sollte), oder
-
- * leer, d.h. nicht gesetzt
-
#
#ref;type;comment;from;to;operator

== RE-Eisenbahn
RE 4;train;;Goslar;Halle (Saale);Abellio Rail Mitteldeutschland GmbH
RE 6;train;;Wolfsburg;Magdeburg;Abellio Rail Mitteldeutschland GmbH
RE10;train;;Bad Harzburg;Hannover;erixx GmbH
RE 21;train;;Goslar;Magdeburg;Abellio Rail Mitteldeutschland GmbH
RE 30;train;;Wolfsburg;Hannover;Metronom Eisenbahngesellschaft mbH
RE50;train;;Wolfsburg;Hildesheim;Metronom Eisenbahngesellschaft mbH
RE60;train;;Braunschweig;Rheine;WestfalenBahn GmbH
RE70;train;;Braunschweig;Bielefeld;WestfalenBahn GmbH

== RB-Eisenbahn
RB 35;train;;Wolfsburg;Stendal;Abellio Rail Mitteldeutschland GmbH
RB 36;train;;Wolfsburg;Magdeburg;Abellio Rail Mitteldeutschland GmbH
RB 40;train;;Braunschweig;Magdeburg;DB Regio Südost
RB 42;train;;Braunschweig;Bad Harzburg;erixx GmbH
RB 43;train;;Braunschweig;Goslar;erixx GmbH
RB44;train;;Braunschweig;Salzgitter-Lebenstedt;DB Regio Nord
RB 45;train;;Braunschweig;Schöppenstedt;DB Regio Nord
RB46;train;;Braunschweig;Herzberg;DB Regio Nord
RB47;train;;Braunschweig;Uelzen;erixx GmbH
RB48;train;;Braunschweig;Salzgitter-Lebenstedt;DB Regio Nord
RB 82;train;;Bad Harzburg;Göttingen;DB Regio Nord

== Tram
=== Stadt Braunschweig
1;tram;;Wenden;Stöckheim;Braunschweiger Verkehrs-GmbH
# Gültig mit Fahrplanwechsel am 3.10.2019
# 10;tram;;Hauptbahnhof;Rühme;Braunschweiger Verkehrs-GmbH
2;tram;;Heidberg;Siegfriedviertel;Braunschweiger Verkehrs-GmbH
3;tram;;Weststadt Weserstraße;Volkmarode;Braunschweiger Verkehrs-GmbH
4;tram;;Helmstedter Straße;Radeklint;Braunschweiger Verkehrs-GmbH
5;tram;;Broitzem;Hauptbahnhof;Braunschweiger Verkehrs-GmbH

== Bus
=== Landkreis Gifhorn
100;bus;;Wesendorf;Gifhorn Bahnhof;Verkehrsgesellschaft Landkreis Gifhorn
101;bus;;Winkel;Neubokel;Verkehrsgesellschaft Landkreis Gifhorn
102;bus;;Wesendorf;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
103;bus;;II. Koppelweg;Wilsche;Verkehrsgesellschaft Landkreis Gifhorn
104;bus;Ringlinie via Dannenbütteler Weg;A.-Riese-Schule;A.Riese-Schule;Verkehrsgesellschaft Landkreis Gifhorn
105;bus;;Wasbüttel;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
106;bus;;Wesendorf;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
107;bus;;Neubokel Ortsmitte;Wilsche Schule;Verkehrsgesellschaft Landkreis Gifhorn
111;bus;;BS Wenden;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
112;bus;;Adenbüttel;BS Wenden;Verkehrsgesellschaft Landkreis Gifhorn
113;bus;;Groß Schwülper;BS Wenden;Verkehrsgesellschaft Landkreis Gifhorn
114;bus;;Didderse;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
120;bus;;Wittingen;Hankensbüttel;Bischof-Brauner GbR
121;bus;;Wittingen;Wittingen;Bischof-Brauner GbR
122;bus;;Knesebeck;Hankensbüttel;Verkehrsgesellschaft Landkreis Gifhorn
123;bus;;Groß Oesingen;Hankensbüttel;Bischof-Brauner GbR
124;bus;;Steinhorst;Hankenbüttel;Bischof-Brauner GbR
125;bus;;Wittingen;Ehra-Lessien;Bischof-Brauner GbR
126;bus;Ringlinie via Steinhorst und Groß Oesingen;Hankensbüttel;Hankensbüttel;Bischof-Brauner GbR
127;bus;;Bokel;Hankensbüttel;Bischof-Brauner GbR
128;bus;;Schweimke;Hankensbüttel;Bischof-Brauner GbR
129;bus;Ringlinie via Bokel und Steimke;Hankensbüttel;Hankensbüttel;Bischof-Brauner GbR
131;bus;;Knesebeck;Schönewörde;Verkehrsgesellschaft Landkreis Gifhorn
132;bus;;Wesendorf;Schönewörde;Verkehrsgesellschaft Landkreis Gifhorn
133;bus;;Wesendorf;Groß Oesingen;Verkehrsgesellschaft Landkreis Gifhorn
134;bus;;Texas;Groß Oesingen;Verkehrsgesellschaft Landkreis Gifhorn
135;bus;;Wesendorf;Hankensbüttel;Verkehrsgesellschaft Landkreis Gifhorn
136;bus;;Bokel;Groß Oesingen;Verkehrsgesellschaft Landkreis Gifhorn
137;bus;;Wesendorf;Wittingen;Verkehrsgesellschaft Landkreis Gifhorn
138;bus;;Westerbeck Schulzentrum;Wittingen;Verkehrsgesellschaft Landkreis Gifhorn
139;bus;;Wesendorf;Westerbeck Schulzentrum;Verkehrsgesellschaft Landkreis Gifhorn
140;bus;;Ahnsen;Gifhorn;Bischof-Brauner GbR
141;bus;;Gifhorn;Flettmar;Bischof-Brauner GbR
142;bus;;Müden;Müden;Bischof-Brauner GbR
143;bus;;Hillerse;Ohof;Bischof-Brauner GbR
144;bus;;Meinersen;Böckelse;Bischof-Brauner GbR
145;bus;;Dalldorf;Leiferde;Verkehrsgesellschaft Landkreis Gifhorn
146;bus;;Ohof;Leiferde;Bischof-Brauner GbR
147;bus;;Leiferde;Müden;Bischof-Brauner GbR
148;bus;;Ahnsen;Böckelse;Bischof-Brauner GbR
150;bus;;Schönewörde;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
151;bus;;Wittingen;VW Werk;Verkehrsbetriebe Bachstein
152;bus;;Platendorf;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
153;bus;;Brome;VW Werk;Verkehrsbetriebe Bachstein
154;bus;;Wilsche;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
155;bus;;Gifhorn;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
156;bus;;Wesendorf;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
157;bus;;Müden;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
158;bus;;Hillerse;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
159;bus;;Gifhorn;VW Werk;Verkehrsgesellschaft Landkreis Gifhorn
160;bus;;Wolfsburg;Brome;Verkehrsbetriebe Bachstein
161;bus;;Brome;Wolfsburg Kreuzheide;Verkehrsbetriebe Bachstein
162;bus;;Ehra-Lessien;Vorsfelde;Verkehrsbetriebe Bachstein
163;bus;;Wittingen;Zicherie;Verkehrsbetriebe Bachstein
164;bus;;Brome;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
165;bus;;Wittingen;Zicherie;Verkehrsbetriebe Bachstein
170;bus;;Wolfsburg;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
171;bus;;Tiddische;Weyhausen;Verkehrsgesellschaft Landkreis Gifhorn
172;bus;;Stüde;Weyhausen;Verkehrsgesellschaft Landkreis Gifhorn
173;bus;;Platendorf;Weyhausen;Verkehrsgesellschaft Landkreis Gifhorn
174;bus;;Westerbeck;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
180;bus;;Wolfsburg Hauptbahnhof;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
182;bus;;Jelpke;Calberlah;Verkehrsgesellschaft Landkreis Gifhorn
183;bus;;Tankumsee;Isenbüttel;Verkehrsgesellschaft Landkreis Gifhorn
184;bus;;Detmerode;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
185;bus;;Ausbüttel;Calberlah;Verkehrsgesellschaft Landkreis Gifhorn
186;bus;;Jelpke;Westerbeck Schulzentrum;Verkehrsgesellschaft Landkreis Gifhorn
191;bus;;Braunschweig;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
192;bus;;Grassel;Meine;Verkehrsgesellschaft Landkreis Gifhorn
193;bus;;Isenbüttel;Meine;Verkehrsgesellschaft Landkreis Gifhorn
194;bus;;Groß Schwülper;Meine;Verkehrsgesellschaft Landkreis Gifhorn
195;bus;;Schwülper;Schwülper;Verkehrsgesellschaft Landkreis Gifhorn
196;bus;;Schwülper;Meine;Verkehrsgesellschaft Landkreis Gifhorn
197;bus;;Braunschweig Wenden;Gifhorn;Verkehrsgesellschaft Landkreis Gifhorn
#

=== Stadt Wolfsburg
201;bus;;Velstove;Mörser Winkel;Wolfsburger Verkehrs-GmbH
202;bus;;Detmerode;Brackstedt;Wolfsburger Verkehrs-GmbH
203;bus;;Vorsfelde;Sülfeld;Wolfsburger Verkehrs-GmbH
204;bus;;Neuhaus;Mörse;Wolfsburger Verkehrs-GmbH
211;bus;;Hauptbahnhof;Heiligendorf;Wolfsburger Verkehrs-GmbH
212;bus;;Vorsfelde Süd;Ehmen;Wolfsburger Verkehrs-GmbH
213;bus;;Badeland;Laagberg;Wolfsburger Verkehrs-GmbH
215;bus;;Hauptbahnhof;Neindorf;Wolfsburger Verkehrs-GmbH
216;bus;;Hauptbahnhof;Neindorf;Wolfsburger Verkehrs-GmbH
218;bus;;Hauptbahnhof;Flechtorf;Wolfsburger Verkehrs-GmbH
230;bus;;Wolfsburg;Braunschweig;Wolfsburger Verkehrs-GmbH
231;bus;;Groß Brunsrode;Wolfsburg;Wolfsburger Verkehrs-GmbH
261;bus;;VW Werk;Sülfeld;Wolfsburger Verkehrs-GmbH
262;bus;;VW Werk;Rabenberg;Wolfsburger Verkehrs-GmbH
263;bus;;VW Werk;Ehmen;Wolfsburger Verkehrs-GmbH
264;bus;;VW Werk;Velstove;Wolfsburger Verkehrs-GmbH
265;bus;;VW Werk;Wendschott;Wolfsburger Verkehrs-GmbH
266;bus;;VW Werk;Vorsfelde Süd;Wolfsburger Verkehrs-GmbH
267;bus;;VW Werk;Ehmen;Wolfsburger Verkehrs-GmbH
268;bus;;VW Werk;Nordsteimke;Wolfsburger Verkehrs-GmbH
269;bus;;VW Werk;Königslutter;Wolfsburger Verkehrs-GmbH
#

=== Landkreis Helmstedt
335;bus;;Oebisfelde;Wolfsburg;Verkehrsbetriebe Bachstein
360;bus;;Königslutter;Wolfsburg;KVG Braunschweig
370;bus;;Helmstedt;Schöppenstedt;KVG Braunschweig
371;bus;;Schöppenstedt;Schöningen;KVG Braunschweig
372;bus;;Söllingen;Schöningen;KVG Braunschweig
380;bus;;Helmstedt;Wolfsburg;KVG Braunschweig
381;bus;;Velpke;Groß Sisbeck;KVG Braunschweig
# 382;bus;;Velpke;Velpke;KVG Braunschweig - Schulfahrplan der Samtgemeinde Velpke
383;bus;;Volkmarsdorf;Wolfsburg;KVG Braunschweig
384;bus;;Königslutter;Königslutter;KVG Braunschweig
385;bus;;Königslutter;Königslutter;KVG Braunschweig
386;bus;;Lehre;Essenrode;KVG Braunschweig
387;bus;;Königslutter;Essehof;KVG Braunschweig
