
#
# This data is *not* stored in the OSM Wiki but in GitHub
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Contents in CSV-Format - if ';' is part of the field, then enclose that field in "..."
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on '''TRANSPORTS DANIEL MEYER''' Public Transport Lines

-
- '''!!!This summary is a list of what has been published in open data by Île-de-France Mobilités and found in OSM!!!'''
-
- Feel free to modify the list on github
-
#
#ref;type;comment;from;to;operator

== Lines
DM2A;bus;;;;
DM2B;bus;;;;
DM3|DM3A|DM3B;bus;;;;
DM4;bus;;;;
DM5;bus;;;;
DM06A;bus;;;;
DM06B;bus;;;;
DM8;bus;;;;
DM09;bus;;;;
DM10A;bus;;;;
DM10S;bus;;;;
DM11A;bus;;;;
DM11C;bus;;;;
DM11E;bus;;;;
DM11G;bus;;;;
DM12;bus;;;;
DM13;bus;;;;
DM151;bus;;;;
DM153;bus;;;;
DM16;bus;;;;
DM17A;bus;;;;
DM17B;bus;;;;
DM17S;bus;;;;
DM19;bus;;;;
DM20;bus;;;;
DM20S;bus;;;;
DM21A;bus;;;;
DM21B;bus;;;;
DM21S;bus;;;;
DM22;bus;;;;
DM26;bus;;;;
