<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of CFL network in Lëtzebuerg

- Link to the data with the description of [[WikiProject_Luxembourg/Public_Transport/Analysis/LU-CFL-Routes|CFL Lines]] in OSM-Wiki.
- Link to more [[Talk:WikiProject_Luxembourg/Public_Transport/Analysis/CFL|information]] in OSM-Wiki.

== Note

- For the analysis, 'network' is expected as
-
- * "CFL"                           short form, oder
-
- * "Chemins de Fer Luxembourgeois"  long form, or
-
- * empty string, i.e. not set
-
#
#ref;type;comment;from;to;operator

== Buslinen CFL

Bus;bus;GTFS route_id=2:C82---:Bus;Luxembourg, Gare Centrale;Mexy, Lorraine;
CFB;bus;GTFS route_id=2:C82---:CFB;Luxembourg, Gare Centrale;Mexy, Lorraine;

== Züge CFL

IC;train;GTFS route_id=2:C82---:IC100;Luxembourg, Gare Centrale;Liers;
IC;train;GTFS route_id=2:C82---:IC10100;Ettelbruck, Gare;Luxembourg, Gare Centrale;
IC;train;GTFS route_id=2:C82---:IC2100;Luxembourg, Gare Centrale;Namur, Gare;
IC;train;GTFS route_id=2:C82---:IC4600;Luxembourg, Gare Centrale;Arlon, Gare;
IC;train;GTFS route_id=2:C82---:IC7600;Luxembourg, Gare Centrale;Midi, Gare;
IC;train;GTFS route_id=2:C88---:IC100;Gouvy, Gare;Luxembourg, Gare Centrale;
IC;train;GTFS route_id=2:C88---:IC17600;Arlon, Gare;Luxembourg, Gare Centrale;
IC;train;GTFS route_id=2:C88---:IC2100;Arlon, Gare;Luxembourg, Gare Centrale;
IC;train;GTFS route_id=2:C88---:IC4600;Arlon, Gare;Luxembourg, Gare Centrale;
IC;train;GTFS route_id=2:C88---:IC7600;Arlon, Gare;Luxembourg, Gare Centrale;
RB;train;GTFS route_id=2:C80---:RB5100;Igel;Luxembourg, Gare Centrale;
RB;train;GTFS route_id=2:C82---:RB10700;Pétange, Gare;Bettembourg, Gare;
RB;train;GTFS route_id=2:C82---:RB13500;Luxembourg, Gare Centrale;Mersch, Gare;
RB;train;GTFS route_id=2:C82---:RB13600;Ettelbruck, Gare;Luxembourg, Gare Centrale;
RB;train;GTFS route_id=2:C82---:RB13700;Luxembourg, Gare Centrale;Mersch, Gare;
RB;train;GTFS route_id=2:C82---:RB16700;Bettembourg, Gare;Rodange, Gare;
RB;train;GTFS route_id=2:C82---:RB16800;Bettembourg, Gare;Pétange, Gare;
RB;train;GTFS route_id=2:C82---:RB17000;Luxembourg, Gare Centrale;Wasserbillig, Gare;
RB;train;GTFS route_id=2:C82---:RB1700;Kautenbach, Op der Gare;Wiltz, Gare;
