<pre>
#
# Formatierung: die Formatierung lehnt sich ans Wiki an.
#
# Links: [[...|...]] sind (wie im OSM-Wiki) interne Verweise ins OSM-Wiki
#        [... ...] sind (wie im OSM-Wiki) externe Verweise ins Internet
#
# Überschriften beginnen mit '=', '==', '===', '====', ... am Anfang einer Zeile
#
# Einfacher Text beginnt mit '-' am Anfang einer Zeile.
#     Einfacher Text darf überall stehen.
#     Ein einfaches '-' am Anfang der Zeile gefolgt von 'nichts':
#     - wenn davor einfacher Text stand wird ein Zeilenumbruch erzeugt und das bisher ausgegebenen in einen Paragraphen <p> ... </p> gepackt
#     - wenn vorher kein einfacher Text stand bzw. ein Zeilenumbruch erzeugt wurde, so wird eine Leerzeile erzeugt mit Hilfe von <p>&amp;nbsp;</p>
#
# !!!Text mit gelbem Hintergrund!!! in einfachem Text oder Überschriften
# '''''Text mit dicken, kursiven Buchstaben''''' in einfachem Text oder Überschriften
# '''Text mit dicken Buchstaben''' in einfachem Text oder Überschriften
# ''Text mit kursiven Buchstaben'' in einfachem Text oder Überschriften
#
# Kommentare beginnen mit '#' am Anfang einer Zeile. Kommentare mittendrin werden nicht erkannt, d.h. '#' darf innerhalb von Text vorkommen.
#
# Format der Datei: UTF-8
#
#
# Definition von Linieninformationen: Inhalt im CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' von route oder route_master
#                250            definiert, dass hier Linien mit 'ref'='250' erwartet wird
#                250|250a|250b  definiert, dass hier Linien mit 'ref'='250' und 'ref'='250a' und 'ref'='250b' zulässig sind - ob das nach PTv1/PTv2 erlaubt ist, ist eine andere Sache
# - type      == inhalt des tags 'route' bzw. 'route_master'
# - comment   == kann Kommentar enthalten wie; Ruftaxi, Bus, Expressbus, ...  wird nicht ausgewertet, lediglich ausgegeben
#                !Text mit gelbem Hintergrund! im comment (umgeben von einfachem !)
# - from      == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - to        == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - operator  == wird bei mehreren Linie mit identischem ref und type Differenzierung herangezogen
#                Der Wert von 'operator' darf ';' enthalten
#


= Überblick über die ÖPNV-Linien des Rhein-Main-Verkehrsverbund

- Verweis auf die Datei mit den [[Rhein-Main-Verkehrsverbund/Analyse/DE-HE-RMV-Linien|RMV-Linien]] im Wiki.
- Verweis auf mehr [[Talk:Rhein-Main-Verkehrsverbund/Analyse|Informationen]] im Wiki.

== Hinweis

- Dieses ist eine !!!'''IST-Analyse'''!!! und spiegelt den Status der in OSM gemappten Linien im Gebiet des "Rhein-Main-Verkehrsverbund" wider.
-
- Bei der Analyse ist 'network' derzeit entweder
-
- * "RMV"                           short form, oder
-
- * "Rhein-Main-Verkehrsverbund"  long form, oder
-
- * leer, d.h. nicht gesetzt
-
#
#ref;type;comment;from;to;operator

== Regional-Züge

R 42;train;;Marburg (Lahn);Brilon Stadt|Bestwig;"DB RegioNetz Verkehrs GmbH;Kurhessenbahn"

RB 5;train;;Kassel;Fulda;Cantus
RB7;train;;Göttingen;Fulda;Cantus
RB10;train;Rheingaulinie;Frankfurt (Main) Hbf;Neuwied;VIAS GmbH
RB11;train;Sodener Bahn;Bad Soden;Frankfurt-Höchst;FKE
RB12;train;;Königstein;Frankfurt;HLB
RB15;train;Taunusbahn;Brandoberndorf;Bad Homburg v. d. Höhe|Frankfurt Hauptbahnhof;HLB
RB16;train;;Friedrichsdorf;Friedberg;
RB21;train;Ländchesbahn;Limburg (Lahn);Wiesbaden Hbf;HLB
RB22;train;Main-Lahn-Bahn;Limburg (Lahn);Frankfurt (Main) Hbf;DB Regio AG Mitte
RB23;train;Lahn-Eifel-Bahn;Mayen Ost;Limburg;DB Regio AG Mitte
RB29;train;Unterwesterwaldbahn;Siershahn;Limburg (Lahn);HLB
RB 31;train;;Kirchheimbolanden;Frankfurt (Main) Hbf;Vlexx
RB33;train;Nahebahn;Neubrücke (Nahe);Mainz;vlexx GmbH
RB34;train;Niddertalbahn;Stockheim;Frankfurt;DB Regio AG Mitte
RB40;train;Mittelhessenexpress;Dillenburg;Frankfurt;DB Regio AG Mitte
RB41;train;Mittelhessenexpress;Treysa;Frankfurt;DB Regio AG Mitte
RB45;train;Lahntalbahn Vogelsbergbahn;Fulda;Limburg;Hessische Landesbahn GmbH
RB46;train;Lahn-Kinzig-Bahn;Gießen;Gelnhausen;HLB
RB47;train;Horlofftalbahn;Wölfersheim-Södel;Friedberg;HLB
RB48;train;Horlofftalbahn;Nidda;Frankfurt|Friedberg;HLB
RB49;train;;Gießen;Hanau;DB Regio
RB51;train;Kinzigtalbahn;Bad Soden-Salmünster;Frankfurt;DB Regio AG Mitte
RB52;train;Rhöntalbahn;Gersfeld (Rhön);Fulda;Hessische Landesbahn
RB53;train;;Gemünden (Main);Schlüchtern;DB Regio
RB56;train;Kahlgrundbahn;Schöllkrippen;Hanau;"DB RegioNetz Verkehrs GmbH;Westfrankenbahn"
RB58;train;;Aschaffenburg Hbf;Frankfurt (Main) Hbf;Hessische Landesbahn GmbH
RB61;train;Dreieichbahn;DieburgFrankfurt|Neu-Isenburg;DB Regio AG Mitte
RB66;train;Pfungstadtbahn;Pfungstadt;Darmstadt;VIAS GmbH
RB67;train;Main-Neckar-Bahn;Mannheim;Frankfurt;DB Regio AG Mitte
RB68;train;Main-Neckar-Bahn;Heidelberg Hbf;Frankfurt (Main) Hbf;DB Regio AG Mitte
RB75;train;;Wiesbaden;Aschaffenburg;Hessische Landesbahn GmbH
RB81;train;Odenwaldbahn;Erbach;Pfungstadt;VIAS GmbH
RB82;train;Odenwaldbahn;Eberbach;Frankfurt (Main) Hbf;VIAS GmbH
RB86;train;Odenwaldbahn;Wiebelsbach;Hanau;VIAS GmbH
RB90;train;Westerwald-Sieg-Bahn;Limburg (Lahn);Siegen;HLB
RB94;train;;Marburg;Erndtebrück;"DB RegioNetz Verkehrs GmbH;Kurhessenbahn"
RB95;train;Sieg-Dill-Bahn;Siegen;Dillenburg;DreiLänderBahn
RB96;train;Hellertalbahn;Dillenburg;Betzdorf (Sieg);HLB

RE3;train;;Koblenz/Saarbrücken;Frankfurt;vlexx GmbH
RE14;train;;Frankfurt;Mannheim;DB Regio Südwest
RE 15;train;;Kaiserslautern Hbf;Mainz Hbf;DB Regio Südwest
RE20;train;Main-Lahn-Bahn;Limburg (Lahn);Frankfurt (Main) Hbf;DB Regio AG Mitte
RE25;train;Lahntalexpress;Gießen Hbf;Koblenz Hbf;DB Regio AG Mitte
RE 30;train;;Kassel;Frankfurt;DB Regio AG Mitte
RE50;train;Kinsigtalbahn;Fulda;Frankfurt (Main) Hbf;DB Regio AG Mitte
RE54;train;;Würzburg;Frankfurt;DB Regio AG Bayern
RE55;train;;Offenbach;Frankfurt;DB Regio AG Bayern
RE59;train;;Aschaffenburg/Hanau;Frankfurt (Main) Flughafen;DB Regio AG
RE60;train;Main-Nackar-Bahn;Mannheim;Frankfurt;DB Regio AG Mitte
RE70;train;Riedbahn;Worms|Mannheim Hbf;Frankfurt (Main) Hbf;DB Regio AG Mitte
RE80;train;Odenwaldbahn;Erbach;Darmstadt Hbf;VIAS GmbH
RE85;train;Odenwaldbahn;Erbach;Frankfurt (Main) Hbf;VIAS GmbH
RE 98;train;;Kassel;Frankfurt;Hessische Landesbahn GmbH
RE99;train;Main-Sieg-Express;Siegen;Frankfurt (Main) Hbf;Hessische Landesbahn GmbH
-

== S-Bahnen

S1;train;;;;DB S-Bahn Rhein-Main
S2;train;;;;DB S-Bahn Rhein-Main
S3;train;;;;DB S-Bahn Rhein-Main
S4;train;;;;DB S-Bahn Rhein-Main
S5;train;;;;DB S-Bahn Rhein-Main
S6;train;;;;DB S-Bahn Rhein-Main
S7;train;;;;DB S-Bahn Rhein-Main
S8;train;;;;DB S-Bahn Rhein-Main
S9;train;;;;DB S-Bahn Rhein-Main
-

== U-Bahnen

U1;subway;;;;VGF
U2;subway;;;;VGF
U3;subway;;;;VGF
U4;subway;;;;VGF
U5;subway;;;;VGF
U6;subway;;;;VGF
U7;subway;;;;VGF
U8;subway;;;;VGF
U9;subway;;;;VGF
-

== Straßenbahnen

=== Darmstadt

1;tram;;;;DADINA
2;tram;;;;DADINA
