<pre>
#
# Formatierung: die Formatierung lehnt sich ans Wiki an.
#
# Links: [[...|...]] sind (wie im OSM-Wiki) interne Verweise ins OSM-Wiki
#        [... ...] sind (wie im OSM-Wiki) externe Verweise ins Internet
#
# Überschriften beginnen mit '=', '==', '===', '====', ... am Anfang einer Zeile
#
# Einfacher Text beginnt mit '-' am Anfang einer Zeile.
#     Einfacher Text darf überall stehen.
#     Ein einfaches '-' am Anfang der Zeile gefolgt von 'nichts':
#     - wenn davor einfacher Text stand wird ein Zeilenumbruch erzeugt und das bisher ausgegebenen in einen Paragraphen <p> ... </p> gepackt
#     - wenn vorher kein einfacher Text stand bzw. ein Zeilenumbruch erzeugt wurde, so wird eine Leerzeile erzeugt mit Hilfe von <p>&amp;nbsp;</p>
#
# !!!Text mit gelbem Hintergrund!!! in einfachem Text oder Überschriften
# '''''Text mit dicken, kursiven Buchstaben''''' in einfachem Text oder Überschriften
# '''Text mit dicken Buchstaben''' in einfachem Text oder Überschriften
# ''Text mit kursiven Buchstaben'' in einfachem Text oder Überschriften
#
# Kommentare beginnen mit '#' am Anfang einer Zeile. Kommentare mittendrin werden nicht erkannt, d.h. '#' darf innerhalb von Text vorkommen.
#
# Format der Datei: UTF-8
#
#
# Definition von Linieninformationen: Inhalt im CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' von route oder route_master
#                250            definiert, dass hier Linien mit 'ref'='250' erwartet wird
#                250|250a|250b  definiert, dass hier Linien mit 'ref'='250' und 'ref'='250a' und 'ref'='250b' zulässig sind - ob das nach PTv1/PTv2 erlaubt ist, ist eine andere Sache
# - type      == inhalt des tags 'route' bzw. 'route_master'
# - comment   == kann Kommentar enthalten wie; Ruftaxi, Bus, Expressbus, ...  wird nicht ausgewertet, lediglich ausgegeben
#                !Text mit gelbem Hintergrund! im comment (umgeben von einfachem !)
# - from      == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - to        == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - operator  == wird bei mehreren Linie mit identischem ref und type Differenzierung herangezogen
#                Der Wert von 'operator' darf ';' enthalten
#



= Überblick über die ÖPNV-Linien des Hamburger Verkehrsverbundes

- Verweis auf die Datei mit den [[Hamburger_Verkehrsverbund/Analyse/DE-HH-HVV-Routes|HVV Linien]] im Wiki.
- Verweis auf mehr [[Talk:Hamburger_Verkehrsverbund/Analyse|Informationen]] im Wiki.

== Hinweis
- Die Datengrundlage für diese Analyse stammen aus verschiedenen Quellen, darunter dem [http://transparenz.hamburg.de/ Transparenzportal der Stadt Hamburg], dem [https://www.nahverkehrhamburg.de/ Presse-Portal nahverkehrhamburg.de], der [https://www.bahn.de/autokraft Firma Autokraft GmbH], der [https://www.kvg-bus.de/ Firma KVG Stade GmbH & Co. KG]  und mitwirkenden OSM-Mappern.
-
- Bei der Analyse ist 'network' derzeit entweder
-
- * "HVV"                           short form, oder
-
- * "Hamburger Verkehrsverbund"  long form, oder
-
- * leer, d.h. nicht gesetzt
-
#
#ref;type;comment;from;to;operator

== RB-Eisenbahn
RB31;train;;Hamburg;Lüneburg;Metronom Eisenbahngesellschaft mbH
RB32;train;;Lüneburg;Dannenberg;erixx GmbH
RB33;train;;Bremerhaven;Buxtehude;Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH
RB37;train;;Bremen;Uelzen;
RB38;train;;Harburg;Soltau;erixx GmbH
RB41;train;;Hamburg;Bremen;Metronom Eisenbahngesellschaft mbH
RB47;train;;Uelzen;Braunschweig;
RB61;train;;Itzhoe;Hamburg;NBE Nordbahn Eisenbahngesellschaft mbh & Co. KG
RB71;train;;Elmshorn;Hamburg;NBE Nordbahn Eisenbahngesellschaft mbh & Co. KG
RB81;train;;Bad Oldesloe;Hamburg;DB Regio AG
RB82;train;;Neumünster;Bad Oldesloe;NBE Nordbahn Eisenbahngesellschaft mbh & Co. KG

== RE-Eisenbahn
RE1;train;;Hamburg;Rostock;DB Regio AG
RE3;train;;Hamburg;Uelzen;Metronom Eisenbahngesellschaft mbH
RE2;train;;Uelzen;Göttingen;
RE20;train;;Uelzen;Magdeburg;
RE4;train;;Hamburg;Bremen;Metronom Eisenbahngesellschaft mbH
RE5;train;;Hamburg;Cuxhaven;Verkehrsgesellschaft Start Unterelbe mbH
RE6;train;;Westerland;Hamburg;DB Regio AG
RE7;train;;Flensburg;Hamburg;DB Regio AG
RE70;train;;Kiel;Hamburg;DB Regio AG Nord
RE8;train;;Hamburg;Lübeck;DB Regio AG
RE80;train;;Lübeck;Hamburg;DB Regio AG
RE83;train;;Lübeck;Lüneburg;DB Regio AG Nord

== S-Bahn
A1;train;;Eidelstedt;Neumünster / Hamburg Hbf;AKN Eisenbahn GmbH
A2;train;;Norderstedt Mitte;Kaltenkirchen;AKN Eisenbahn GmbH
A3;train;;Elmshorn;Kaltenkirchen / Ulzburg Süd;AKN Eisenbahn GmbH
S1;light_rail;;Wedel;Hamburg Airport (Flughafen) / Poppenbüttel;S-Bahn Hamburg GmbH
S11;light_rail;;Blankenese;Poppenbüttel;S-Bahn Hamburg GmbH
S2;light_rail;;Altona;Bergedorf;S-Bahn Hamburg GmbH
S21;light_rail;;Aumühle;Elbgaustraße;S-Bahn Hamburg GmbH
S3;light_rail;;Pinneberg;Stade;S-Bahn Hamburg GmbH
S31;light_rail;;Altona;Berliner Tor / Neugraben;S-Bahn Hamburg GmbH

== U-Bahn
U1;subway;;Norderstedt Mitte;Großhansdorf / Ohlstedt;Hamburger Hochbahn AG
U2;subway;;Niendorf Nord;Mümmelmannsberg;Hamburger Hochbahn AG
U3;subway;;Barmbek;Wandsbek-Gartenstadt;Hamburger Hochbahn AG
U4;subway;;Billstedt;Elbbrücken;Hamburger Hochbahn AG

== Hafenfähren
61;ferry;;;;HADAG Seetouristik und Fährdienst AG
62;ferry;;;;HADAG Seetouristik und Fährdienst AG
64;ferry;;;;HADAG Seetouristik und Fährdienst AG
72;ferry;;;;HADAG Seetouristik und Fährdienst AG
73;ferry;;;;HADAG Seetouristik und Fährdienst AG
75;ferry;;;;HADAG Seetouristik und Fährdienst AG
HBEL;ferry;;;;

