#
# Cette page respecte le format CSV de PTNA. Pour plus d'informations, voir https://wiki.openstreetmap.org/wiki/FR:Public_Transport_Network_Analysis/Syntaxe_des_données_CSV
#
# Ces données sont entrées pour l'outil : PTNA - Analyse du réseau de transport public (https://ptna.openstreetmap.de)
#


= Overview on '''Brie et 2 Morin''' Public Transport Lines

-
- '''!!!This summary is a list of what has been published in open data by Île-de-France Mobilités and found in OSM!!!'''
-
- Feel free to modify the list on github
-
#
#ref;type;comment;from;to;operator;gtfs-feed;gtfs-route-id;gtfs-release-date

== Lines
2401;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02035;
2402;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02036;
2403;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02069;
2404;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00924;
2405;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02365;
2406;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00941;
2407;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00944;
2411;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02070;
2412;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00905;
2413;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00906;
2414;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00907;
2415;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02072;
2416;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C01715;
2417;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02196;
2418;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00920;
2419;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C02077;
2420;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00922;
2421;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00923;
2422;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C00926;
2423;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C01057;
2424;bus;;;;Transdev Brie et 2 Morin;FR-IDF-IDFM;IDFM:C01059;
