#
# Cette page respecte le format CSV de PTNA. Pour plus d'informations, voir https://wiki.openstreetmap.org/wiki/FR:Public_Transport_Network_Analysis/Syntaxe_des_données_CSV
#
# Ces données sont entrées pour l'outil : PTNA - Analyse du réseau de transport public (https://ptna.openstreetmap.de)
#


= Overview on '''Filéo''' Public Transport Lines

-
- '''!!!This summary is a list of what has been published in open data by Île-de-France Mobilités and found in OSM!!!'''
-
- Feel free to modify the list on github
-
#
#ref;type;comment;from;to;operator

== Lines
27;bus;;;;
32;bus;;;;
FILEO FO;bus;;;;
FILEO G;bus;;;;
FILEO O;bus;;;;
FILEO S;bus;;;;
FILEO SL;bus;;;;
FILEO SP;bus;;;;
FILEO T;bus;;;;
FILEO V;bus;;;;
FILEO VB;bus;;;;
FILEO VE;bus;;;;
