#
# Cette page respecte le format CSV de PTNA. Pour plus d'informations, voir https://wiki.openstreetmap.org/wiki/FR:Public_Transport_Network_Analysis/Syntaxe_des_données_CSV
#
# Ces données sont entrées pour l'outil : PTNA - Analyse du réseau de transport public (https://ptna.openstreetmap.de)
#


= Overview on '''Poissy - Les Mureaux''' Public Transport Lines

-
- '''!!!This summary is a list of what has been published in open data by Île-de-France Mobilités and found in OSM!!!'''
-
- Feel free to modify the list on github
-
#
#ref;type;comment;from;to;operator;gtfs-feed;gtfs-route-id;gtfs-release-date

== Lines
6501;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02565;
6502;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02566;
6503;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00281;
6504;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C01784;
6505;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02567;
6506;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02568;
6507;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02569;
6510;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00286;
6511;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00111;
6512;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00274;
6513;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02570;
6514;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02571;
6515;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02537;
6516;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C01937;
6517;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00272;
6518;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00651;
6519;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02540;
6521;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00106;
6522;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00107;
6523;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02441;
6524;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02539;
6525;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02541;
6526;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00117;
6527;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00641;
6528;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00642;
6529;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02542;
6531;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00267;
6532;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00280;
6533;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00116;
6534;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C01773;
6535;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02798;
6536;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00285;
6537;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00649;
6538;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02875;
6540;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00270;
6541;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00654;
6542;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00640;
6543;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C00644;
6550;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02799;
6551;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02547;
6552;bus;;;;Keolis Seine et Oise Est;FR-IDF-IDFM;IDFM:C02548;
