#
# Cette page respecte le format CSV de PTNA. Pour plus d'informations, voir https://wiki.openstreetmap.org/wiki/FR:Public_Transport_Network_Analysis/Syntaxe_des_données_CSV
#
# Ces données sont entrées pour l'outil : PTNA - Analyse du réseau de transport public (https://ptna.openstreetmap.de)
#


= Overview on '''Roissy Ouest''' Public Transport Lines

-
- '''!!!This summary is a list of what has been published in open data by Île-de-France Mobilités and found in OSM!!!'''
-
- Feel free to modify the list on github
-
#
#ref;type;comment;from;to;operator;gtfs-feed;gtfs-route-id;gtfs-release-date

== Lines
1611;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00191;
1651;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02165;
1618;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02166;
1620;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01867;
1622;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00609;
1623;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00610;
1624;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00612;
1654;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00613;
1625;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00611;
1627;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02059;
1630;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00205;
1603;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00206;
1631;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00208;
1632;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00209;
1635;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01815;
1633;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00211;
1634;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02164;
1655;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00615;
1636;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00616;
1637;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00617;
1626;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02880;
1656;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02879;
1601;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00264;
1602;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00265;
9301;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00223;
TàD;bus;;;Goussainville;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01432;
TàD;bus;;;Othis;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01429;
TàD;bus;;;Othis;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02060;
TàD;bus;;;Sarcelles;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01431;
TàD;bus;;;Survilliers;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01712;
TàD;bus;;;Saint-Pathus;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01823;
TàD;bus;;;Villiers-le-Bel;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01433;
TàD;bus;;;Juilly;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02664;
1639;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00224;
N140;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01638;
N143;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01644;
N146;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02600;
1610;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00228;
1664;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00239;
1665;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00240;
1666;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00241;
1667;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00242;
1668;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00243;
1669;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00244;
1670;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00235;
1671;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00236;
1672;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00237;
1673;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00238;
1674;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C01816;
1677;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00226;
1681;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02601;
1612;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00229;
1613;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00230;
1614;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00231;
1615;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00232;
1616;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00233;
1617;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00234;
1638;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C00207;
1619;bus;;;;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02604;
Soir;bus;;;Louvres;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02030;
Soir;bus;;;Survilliers-Fosses;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02255;
Soir;bus;;;Garges-lès-Gonesse;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02602;
Soir;bus;;;Goussainville;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02603;
Soir;bus;;;Gonesse;Keolis Roissy Pays de France Ouest;FR-IDF-IDFM;IDFM:C02605;
