#
# Cette page respecte le format CSV de PTNA. Pour plus d'informations, voir https://wiki.openstreetmap.org/wiki/FR:Public_Transport_Network_Analysis/Syntaxe_des_données_CSV
#
# Ces données sont entrées pour l'outil : PTNA - Analyse du réseau de transport public (https://ptna.openstreetmap.de)
#


= Overview on '''Seine et Marne Express''' Public Transport Lines

-
- '''!!!This summary is a list of what has been published in open data by Île-de-France Mobilités and found in OSM!!!'''
-
- Feel free to modify the list on github
-
#
#ref;type;comment;from;to;operator

== Lines
01;bus;;;;
07;bus;;;;
16;bus;;;;
17;bus;;;;
18;bus;;;;
19;bus;;;;
46;bus;;;;
47;bus;;;;
50;bus;;;;
69;bus;;;;
EXPRESS34;bus;;;;
Express20;bus;;;;
