<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of RGTR network in Lëtzebuerg

- Link to the data with the description of [[WikiProject_Luxembourg/Public_Transport/Analysis/LU-RGTR-Routes|RGTR Lines]] in OSM-Wiki.
- Link to more [[Talk:WikiProject_Luxembourg/Public_Transport/Analysis/RGTR|information]] in OSM-Wiki.

== Note

- For the analysis, 'network' is expected as
-
- * "RGTR"                                    short form, oder
-
- * "Régime Général des Transports Routiers"  long form, or
-
- * empty string, i.e. not set
-
#
#ref;type;comment;from;to;operator

== Buslinen RGTR

100;bus;GTFS route_id=3:RGTR--:100;Centre, Badanstalt;Diekirch, Gare;
101;bus;GTFS route_id=3:RGTR--:101;Limpertsberg, L.T.C.;Larochette, Bleech;
102;bus;GTFS route_id=3:RGTR--:102;Eisenborn, Am Duerf;Lorentzweiler, Gare;
104;bus;GTFS route_id=3:RGTR--:104;Medernach, Op der Lann;Müllerthal/Möllerdall;
107;bus;GTFS route_id=3:RGTR--:107;Beaufort, Härewiss;Kirchberg, Gare routière Luxexpo;
108;bus;GTFS route_id=3:RGTR--:108;Altrier, Heeschbregerwee;Grundhof, Bei der Ernz;
110;bus;GTFS route_id=3:RGTR--:110;Luxembourg, Gare routière;Echternach, Gare Centre;
111;bus;GTFS route_id=3:RGTR--:111;Luxembourg, Gare routière;Echternach, Gare Centre;
112;bus;GTFS route_id=3:RGTR--:112;Echternach, Gare Centre;Junglinster, Op der Gare;
113;bus;GTFS route_id=3:RGTR--:113;Limpertsberg, L.T.C.;Echternach, Gare Centre;
116;bus;GTFS route_id=3:RGTR--:116;Schweich, P&R;Kirchberg, Gare routière Luxexpo;
117;bus;GTFS route_id=3:RGTR--:117;Luxembourg, rue Heine;Trier, Christophstr.;
118;bus;GTFS route_id=3:RGTR--:118;Kirchberg, Gare routière Luxexpo;Trier, Hauptbahnhof;
119;bus;GTFS route_id=3:RGTR--:119;Kirchberg, Gare routière Luxexpo;Wasserbillig, Mesenich Frontière;
120;bus;GTFS route_id=3:RGTR--:120;Junglinster, Gemeng;Luxembourg, Gare Centrale;
121;bus;GTFS route_id=3:RGTR--:121;Merl, Geesseknäppchen (S);Junglinster, Op der Gare;
122;bus;GTFS route_id=3:RGTR--:122;Sandweiler, Am Eck;Findel, Cargo Center;
125/1;bus;GTFS route_id=3:RGTR--:125/1;Hollerich, Garage AVL;Oberanven, Gemeng;
126;bus;GTFS route_id=3:RGTR--:126;Schuttrange, Kiercheplaz;Limpertsberg, L.T.C.;
128;bus;GTFS route_id=3:RGTR--:128;Junglinster, Op der Gare;Kirchberg, Gare routière Luxexpo;
129;bus;GTFS route_id=3:RGTR--:129;Echternach, Lycée;Junglinster, Op der Gare;
130;bus;GTFS route_id=3:RGTR--:130;Kirchberg, Gare routière Luxexpo;Grevenmacher, Gare routière;
131;bus;GTFS route_id=3:RGTR--:131;Machtum, Ongkaf;Limpertsberg, L.T.C.;
132;bus;GTFS route_id=3:RGTR--:132;Nittel, Rochusstrasse;Grevenmacher, Gare routière;
134;bus;GTFS route_id=3:RGTR--:134;Grevenmacher, Gare routière;Konz, Konz Mitte;
135;bus;GTFS route_id=3:RGTR--:135;Kirchberg, Gare routière Luxexpo;Grevenmacher, Gare routière;
140;bus;GTFS route_id=3:RGTR--:140;Kirchberg, Gare routière Luxexpo;Canach, Z.A. Rëckschleed;
142;bus;GTFS route_id=3:RGTR--:142;Moutfort, Syrbréck;Kirchberg, Gare routière Luxexpo;
144;bus;GTFS route_id=3:RGTR--:144;Itzig, Hubertuspad;Neuhaeusgen, Iewescht Neihaischen;
145;bus;GTFS route_id=3:RGTR--:145;Merl, Geesseknäppchen (S);Neuhaeusgen, Iewescht Neihaischen;
150;bus;GTFS route_id=3:RGTR--:150;Ahn, Alphonse Steinès;Centre, F.D. Roosevelt;
151;bus;GTFS route_id=3:RGTR--:151;Limpertsberg, L.T.C.;Sandweiler, Am Eck;
152;bus;GTFS route_id=3:RGTR--:152;Ehnen, Puddel;Wormeldange/Haut, Hiehl;
155;bus;GTFS route_id=3:RGTR--:155;Kirchberg, Europe Gare routière;Saarlouis, Kleiner Markt;
156;bus;GTFS route_id=3:RGTR--:156;Centre, Stäreplaz / Étoile;Hotel;
157;bus;GTFS route_id=3:RGTR--:157;Kirchberg, Gare routière Luxexpo;Brückenstr.;
