<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of TICE network in Lëtzebuerg

- Link to the data with the description of [[WikiProject_Luxembourg/Public_Transport/Analysis/LU-TICE-Routes|TICE Lines]] in OSM-Wiki.
- Link to more [[Talk:WikiProject_Luxembourg/Public_Transport/Analysis/TICE|information]] in OSM-Wiki.

== Note

- For the analysis, 'network' is expected as
-
- * "TICE"                           short form, oder
-
- * "Transport Intercommunal de personnes dans le Canton d'Esch-sur-Alzette"  long form, or
-
- * empty string, i.e. not set
-
#
#ref;type;comment;from;to;operator

== Buslinen TICE

1;bus;GTFS route_id=4:TIC---:1;Lamadelaine, Op Gehren;Esch/Alzette, Gare;
2;bus;GTFS route_id=4:TIC---:2;Differdange, Schoul;Esch/Alzette, Gare;
3;bus;GTFS route_id=4:TIC---:3;Rodange, Schwemm;Esch/Alzette, Gare;
4;bus;GTFS route_id=4:TIC---:4;Dudelange, Gemeng;Esch/Alzette, Av. du Rock'n'Roll;
5;bus;GTFS route_id=4:TIC---:5;Dudelange, Gemeng;Esch/Alzette, Gare;
6;bus;GTFS route_id=4:TIC---:6;Obercorn, Aquasud;Obercorn, Aquasud;
7;bus;GTFS route_id=4:TIC---:7;Esch/Alzette, Gare;Esch/Alzette, Av. du Rock'n'Roll;
8;bus;GTFS route_id=4:TIC---:8;Dudelange, Greisendall;Dudelange, Soibelkaul;
9;bus;GTFS route_id=4:TIC---:9;Dudelange, Skatepark P&R;Dudelange, Biereng;
10;bus;GTFS route_id=4:TIC---:10;Dudelange, Gemeng;Dudelange, Gemeng;
12;bus;GTFS route_id=4:TIC---:12;Esch/Alzette, Gare;Esch/Alzette, Place Pierre Ponath;
13;bus;GTFS route_id=4:TIC---:13;Rodange, Rue Joseph Moscardo;Esch/Alzette, Gare;
14;bus;GTFS route_id=4:TIC---:14;Rodange, Rue Joseph Moscardo;Differdange, Schoul;
15;bus;GTFS route_id=4:TIC---:15;Clemency, Schock;Esch/Alzette, Gare;
17;bus;GTFS route_id=4:TIC---:17;Esch/Alzette, Gare;Pontpierre, Paschtoueschhaus;
600;bus;GTFS route_id=4:TIC---:600;Bascharage, Rue Nicolas Meyers;Esch/Alzette, Gare;
601;bus;GTFS route_id=4:TIC---:601;Linger, Schoul prov.;Esch/Alzette, Dellhéicht;
610;bus;GTFS route_id=4:TIC---:610;Differdange, Aal Gare;Esch/Alzette, Gare;
611;bus;GTFS route_id=4:TIC---:611;Differdange, Schoul;Esch/Alzette, Gare;
612;bus;GTFS route_id=4:TIC---:612;Differdange, Seelebunn;Esch/Alzette, Gare;
613;bus;GTFS route_id=4:TIC---:613;Differdange, Arbed;Esch/Alzette, Lycée Guillaume Kroll;
